"id","code","name","user_type_id/id","reconcile","chart_template_id/id","tag_ids/id"
"chart01001","010-01","Grunty","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart01002","010-02","Budynki i lokale","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart01003","010-03","Obiekty inżynierii lądowej i wodnej","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart01004","010-04","Kotły i maszyny energetyczne","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart01005","010-05","Maszyny i urządzenia i aparaty ogólnego zastos.","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart01006","010-06","Specjalistyczne maszyny i urządzenia","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart01007","010-07","Urządzenia techniczne","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_C"
"chart01008","010-08","Środki transportu","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart01009","010-09","Narzędzia, przyrządy i wyposażenie","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart02001","020-01","WNIP","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart030","030","Długoterminowe aktywa finansowe","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart040","040","Inwestycje w nieruchomości i prawa","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07101","071-01","Umorzenie Grunty","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07102","071-02","Umorzenie Budynki i lokale","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07103","071-03","Umorzenie Obiekty inżynierii lądowej i wodnej","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07104","071-04","Kotły i maszyny energetyczne","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07105","071-05","Umorzenie Maszyny i urządzenia i aparaty ogólnego zastos.","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07106","071-06","Umorzenie Specjalistyczne maszyny i urządzenia","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07107","071-07","Umorzenie Urządzenia techniczne","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07108","071-08","Umorzenie Środki transportu","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07109","071-09","Umorzenie Narzędzia, przyrządy i wyposażenie","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart07201","072-01","Umorzenie WNIP","account.data_account_type_non_current_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart08001","080-01","Środki trwałe w budowie Zakup","account.data_account_type_fixed_assets","False","l10n_pl_trilab.pl_trilab_chart_template",""
"chart2000101","200-01-01","Rozrachunki z odbiorcami","account.data_account_type_receivable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart2100101","210-01-01","Rozrachunki z dostawcami","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart2000201","200-02-01","Rozrachunki z odbiorcami zagranicznymi","account.data_account_type_receivable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart2100201","210-02-01","Rozrachunki z dostawcami zagranicznymi","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart2110101","211-01-01","Rozrachunki - klienci POS","account.data_account_type_receivable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart22001","220-01","Rozrachunki budżetowe Podatek dochodowy od osób prawnych CIT","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart22002","220-02","Rozrachunki budżetowe Podatek dochodowy od osób fizycznych PIT 4","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
"chart22003","220-03","Rozrachunki budżetowe Podatek dochodowy od osób fizycznych PIT 8","account.data_account_type_payable","True","l10n_pl_trilab.pl_trilab_chart_template",""
